RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,Self-Made Score,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Age,Philanthropy Score,Agent,Agency,Lifetime Giving,Giving as a percentage of net worth
1,Elon Musk,$251 B,52,Texas,"Tesla, SpaceX",1,AUTOMOTIVE,8,"Tesla, SpaceX, Self Made","Austin, Texas",United States,Single,11,"Bachelor of Arts/Science, University of Pennsylvania",53,1,,,,
2,Jeff Bezos,$161 B,59,Washington,Amazon,2,TECHNOLOGY,8,"Amazon, Self Made","Miami, Florida",United States,Engaged,4,"Bachelor of Arts/Science, Princeton University",60,2,,,,
3,Larry Ellison,$158 B,79,California,Oracle,1,TECHNOLOGY,9,"Oracle, Self Made","Woodside, California",United States,In Relationship,4,"Drop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign",79,1,,,,
4,Warren Buffett,$121 B,93,Nebraska,Berkshire Hathaway,5,FINANCE & INVESTMENTS,8,"Berkshire Hathaway, Self Made","Omaha, Nebraska",United States,"Widowed, Remarried",3,"Master of Science, Columbia University; Bachelor of Arts/Science, University of Nebraska Lincoln",93,5,,,,
5,Larry Page,$114 B,50,California,Google,1,TECHNOLOGY,8,"Google, Self Made","Palo Alto, California",United States,Married,1,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Michigan",51,1,,,,
6,Bill Gates,$111 B,67,Washington,Microsoft,5,TECHNOLOGY,8,"Microsoft, Self Made","Medina, Washington",United States,Divorced,3,"Drop Out, Harvard University",68,5,,,,
7,Sergey Brin,$110 B,50,California,Google,2,TECHNOLOGY,9,"Google, Self Made","Los Altos, California",United States,Separated,3,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Maryland, College Park",50,2,,,,
8,Mark Zuckerberg,$106 B,39,California,Facebook,2,TECHNOLOGY,8,"Facebook, Self Made","Palo Alto, California",United States,Married,3,"Drop Out, Harvard University",40,2,,,,
9,Steve Ballmer,$101 B,67,Washington,Microsoft,2,TECHNOLOGY,6,"Microsoft, Self Made","Hunts Point, Washington",United States,Married,3,"Bachelor of Arts/Science, Harvard University; Drop Out, Stanford University",68,2,,,,
10,Michael Bloomberg,$96.3 B,81,New York,Bloomberg LP,4,FINANCE & INVESTMENTS,8,"Bloomberg LP, Self Made","New York, New York",United States,In Relationship,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University",82,4,,,,
11,Michael Dell,$71.5 B,58,Texas,Dell Technologies,2,TECHNOLOGY,8,"Dell Technologies, Self Made","Austin, Texas",United States,Married,4,"Drop Out, The University of Texas at Austin",59,2,,,,
12,Jim Walton & family,$68.2 B,75,Arkansas,Walmart,1,FASHION & RETAIL,2,Walmart,"Bentonville, Arkansas",United States,Married,4,"Bachelor of Arts/Science, University of Arkansas",76,1,,,,
13,Rob Walton & family,$67.4 B,78,Arkansas,Walmart,1,FASHION & RETAIL,4,Walmart,"Bentonville, Arkansas",United States,Married,3,"Doctor of Jurisprudence, Columbia University; Bachelor of Arts/Science, University of Arkansas",79,1,,,,
14,Alice Walton,$66.5 B,73,Texas,Walmart,2,FASHION & RETAIL,1,Walmart,"Fort Worth, Texas",United States,Divorced,,"Bachelor of Arts/Science, Trinity University",74,2,,,,
15,Julia Koch & family,$59.8 B,61,New York,Koch Industries,2,DIVERSIFIED,1,Koch Industries,"New York, New York",United States,Widowed,3,"Bachelor of Arts/Science, University of Central Arkansas",62,2,,,,
16,Charles Koch & family,$54.5 B,87,Kansas,Koch Industries,2,DIVERSIFIED,5,Koch Industries,"Wichita, Kansas",United States,Married,2,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",88,2,,,,
17,Jensen Huang,$40.7 B,60,California,Semiconductors,1,TECHNOLOGY,8,"Semiconductors, Self Made","Los Altos, California",United States,Married,,"Bachelor of Science in Engineering, Oregon State University; Master of Science in Engineering, Stanford University",61,1,,,,
18,Phil Knight & family,$39.5 B,85,Oregon,Nike,3,FASHION & RETAIL,8,"Nike, Self Made","Hillsboro, Oregon",United States,Married,3,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Oregon",86,3,,,,
19,Jacqueline Mars,$38.9 B,83,Virginia,"Candy, pet food",None,FOOD & BEVERAGE,2,"Candy, pet food","The Plains, Virginia",United States,Divorced,3,"Bachelor of Arts/Science, Bryn Mawr College",84,,,,,
19,John Mars,$38.9 B,87,Wyoming,"Candy, pet food",None,FOOD & BEVERAGE,2,"Candy, pet food","Jackson, Wyoming",United States,Married,3,"Diploma, The Hotchkiss School; Bachelor of Arts/Science, Yale University",88,,,,,
21,MacKenzie Scott,$37.1 B,53,Washington,Amazon,5,TECHNOLOGY,3,Amazon,"Seattle, Washington",United States,Divorced,4,"Bachelor of Arts/Science, Princeton University",54,5,,,,
22,Ken Griffin,$35.4 B,54,Florida,Hedge funds,3,FINANCE & INVESTMENTS,8,"Hedge funds, Self Made","Miami, Florida",United States,Divorced,3,"Bachelor of Arts/Science, Harvard University",55,3,,,,
23,Stephen Schwarzman,$34.5 B,76,New York,Investments,2,FINANCE & INVESTMENTS,8,"Investments, Self Made","New York, New York",United States,Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Yale University",77,2,,,,
24,Miriam Adelson & family,$32.8 B,77,Nevada,Casinos,2,GAMBLING & CASINOS,2,Casinos,"Las Vegas, Nevada",United States,Widowed,5,"Bachelor of Science, Hebrew University Jerusalem",78,2,,,,
25,Len Blavatnik,$30.7 B,66,,"Music, chemicals",2,DIVERSIFIED,9,"Music, chemicals, Self Made","London, United Kingdom",United States,Married,,"Master of Science, Columbia University; Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Moscow State University",67,2,,,,
25,Jim Simons,$30.7 B,85,New York,Hedge funds,4,FINANCE & INVESTMENTS,8,"Hedge funds, Self Made",,United States,,3,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Doctorate, University of California, Berkeley",,4,,,,
27,Thomas Peterffy,$29.7 B,79,Florida,Discount brokerage,1,FINANCE & INVESTMENTS,10,"Discount brokerage, Self Made","Palm Beach, Florida",United States,Divorced,3,"Drop Out, New York University",79,1,,,,
28,Jeff Yass,$28.9 B,65,Pennsylvania,"Trading, investments",1,FINANCE & INVESTMENTS,8,"Trading, investments, Self Made","Haverford, Pennsylvania",United States,Married,4,"Bachelor of Science, SUNY Binghamton",66,1,,,,
29,Abigail Johnson,$25.5 B,61,Massachusetts,Fidelity,1,FINANCE & INVESTMENTS,4,Fidelity Investments,"Milton, Massachusetts",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Hobart and William Smith",62,1,,,,
30,Harold Hamm & family,$25.2 B,77,Oklahoma,Oil & gas,1,ENERGY,10,"Oil & gas, Self Made","Oklahoma City, Oklahoma",United States,Divorced,5,"Diploma, High School",78,1,,,,
31,Lukas Walton,$24.2 B,37,Illinois,Walmart,1,FASHION & RETAIL,1,Walmart,"Chicago, Illinois",United States,Married,,"Bachelor of Arts/Science, Colorado College",37,1,,,,
32,"Thomas Frist, Jr. & family",$22.6 B,85,Tennessee,Hospitals,1,HEALTHCARE,7,"Hospitals, Self Made","Nashville, Tennessee",United States,Married,3,"Bachelor of Arts/Science, Vanderbilt University; Medical Doctor, Washington University",85,1,,,,
33,"John Menard, Jr.",$22.5 B,83,Wisconsin,Home improvement stores,1,FASHION & RETAIL,9,"Home improvement stores, Self Made","Eau Claire, Wisconsin",United States,Married,6,"Bachelor of Arts/Science, University of Wisconsin, Eau Claire",84,1,,,,
34,Daniel Gilbert,$21.3 B,61,Michigan,Quicken Loans,2,FINANCE & INVESTMENTS,8,"Quicken Loans, Self Made","Franklin, Michigan",United States,Married,5,"Bachelor of Arts/Science, Michigan State University; LLB, Wayne State University",62,2,,,,
35,David Tepper,$20.6 B,66,Florida,Hedge funds,2,FINANCE & INVESTMENTS,8,"Hedge funds, Self Made","Palm Beach, Florida",United States,Married,3,"Master of Business Administration, David A. Tepper School of Business; Bachelor of Arts/Science, University of Pittsburgh",66,2,,,,
36,Eric Schmidt,$20 B,68,California,Google,3,TECHNOLOGY,6,"Google, Self Made","Atherton, California",United States,Married,2,"Bachelor of Arts/Science, Princeton University; Doctorate, University of California, Berkeley; Master of Science, University of California, Berkeley",69,3,,,,
37,Steve Cohen,$19.8 B,67,Connecticut,Hedge funds,3,FINANCE & INVESTMENTS,8,"Hedge funds, Self Made","Greenwich, Connecticut",United States,Married,7,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",68,3,,,,
38,Diane Hendricks,$19.3 B,76,Wisconsin,Building supplies,1,CONSTRUCTION & ENGINEERING,9,"Building supplies, Self Made","Afton, Wisconsin",United States,Widowed,7,"Diploma, High School",77,1,,,,
39,Donald Bren,$18 B,91,California,Real estate,4,REAL ESTATE,8,"Real estate, Self Made","Newport Beach, California",United States,Married,7,"Bachelor of Arts/Science, University of Washington",92,4,,,,
40,Rupert Murdoch & family,$17.4 B,92,New York,"Newspapers, TV network",1,MEDIA & ENTERTAINMENT,5,"Newspapers, TV network","New York, New York",United States,Married,6,"Bachelor of Arts/Science, Oxford University; Master of Arts, Oxford University",93,1,,,,
41,Rick Cohen & family,$16.2 B,71,New Hampshire,Warehouse automation,None,TECHNOLOGY,5,Warehouse automation,"Keene, New Hampshire",United States,Married,3,,72,,,,,
42,Ray Dalio,$15.4 B,74,Connecticut,Hedge funds,3,FINANCE & INVESTMENTS,8,"Hedge funds, Self Made","Greenwich, Connecticut",United States,Married,4,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Long Island University",74,3,,,,
42,Leonard Lauder,$15.4 B,90,New York,Estee Lauder,3,FASHION & RETAIL,5,Estee Lauder,"New York, New York",United States,"Widowed, Remarried",2,"Bachelor of Arts/Science, University of Pennsylvania",91,3,,,,
44,Jan Koum,$15.1 B,47,California,WhatsApp,2,TECHNOLOGY,10,"WhatsApp, Self Made","Atherton, California",United States,Single,,"Drop Out, San Jose State University",48,2,,,,
45,Philip Anschutz,$14.8 B,83,Colorado,"Energy, sports, entertainment",3,FINANCE & INVESTMENTS,5,"Energy, sports, entertainment","Denver, Colorado",United States,Married,3,"Bachelor of Arts/Science, University of Kansas",84,3,,,,
45,Autry Stephens,$14.8 B,85,Texas,Oil,None,ENERGY,9,"Oil, Self Made","Midland, Texas",United States,Married,2,"Master of Science, University of Texas, Austin",86,,,,,
47,Stanley Kroenke,$14.6 B,76,Texas,"Sports, real estate",1,SPORTS,7,"Sports, real estate, Self Made","Electra, Texas",United States,Married,2,"Master of Business Administration, Robert J. Trulaske, Sr. College of Business; Bachelor of Arts/Science, University of Missouri",77,1,,,,
48,Jerry Jones,$14.5 B,80,Texas,Dallas Cowboys,1,SPORTS,8,"Dallas Cowboys, Self Made","Dallas, Texas",United States,Married,3,"Bachelor of Arts/Science, University of Arkansas; Master of Arts, University of Arkansas",81,1,,,,
49,George Kaiser,$14.1 B,81,Oklahoma,"Oil & gas, banking",4,ENERGY,5,"Oil & gas, banking","Tulsa, Oklahoma",United States,Married,3,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Harvard University",82,4,,,,
50,Andrew Beal,$13.8 B,70,Texas,"Banks, real estate",1,FINANCE & INVESTMENTS,8,"Banks, real estate, Self Made","Dallas, Texas",United States,Divorced,6,"Drop Out, Baylor University",71,1,,,,
51,David Duffield,$13.7 B,83,Nevada,Business software,3,TECHNOLOGY,8,"Business software, Self Made","Incline Village, Nevada",United States,Married,10,"Bachelor of Engineering, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management",83,3,,,,
51,David Green & family,$13.7 B,81,Oklahoma,Retail,2,FASHION & RETAIL,10,"Retail, Self Made","Oklahoma City, Oklahoma",United States,Married,3,"Diploma, High School",82,2,,,,
51,Jeffery Hildebrand,$13.7 B,64,Texas,Oil,2,ENERGY,8,"Oil, Self Made","Houston, Texas",United States,Married,3,"Bachelor of Arts/Science, The University of Texas at Austin; Master of Science, The University of Texas at Austin",65,2,,,,
