RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,SOURCE OF WEALTH,SELF-MADE SCORE,RESIDENCE,CITIZENSHIP,MARITAL STATUS,CHILDREN,EDUCATION
1,Elon Musk,$251 B,53,Texas,"Tesla, SpaceX",1,AUTOMOTIVE,"Tesla, SpaceX, Self Made",8,"Austin, Texas",United States,Single,11,"Bachelor of Arts/Science, University of Pennsylvania"
2,Jeff Bezos,$161 B,60,Washington,Amazon,2,TECHNOLOGY,"Amazon, Self Made",8,"Miami, Florida",United States,Engaged,4,"Bachelor of Arts/Science, Princeton University"
3,Larry Ellison,$158 B,79,California,Oracle,1,TECHNOLOGY,"Oracle, Self Made",9,"Woodside, California",United States,In Relationship,4,"Drop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign"
4,Warren Buffett,$121 B,93,Nebraska,Berkshire Hathaway,5,FINANCE & INVESTMENTS,"Berkshire Hathaway, Self Made",8,"Omaha, Nebraska",United States,"Widowed, Remarried",3,"Master of Science, Columbia University; Bachelor of Arts/Science, University of Nebraska Lincoln"
5,Larry Page,$114 B,51,California,Google,1,TECHNOLOGY,"Google, Self Made",8,"Palo Alto, California",United States,Married,1,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Michigan"
6,Bill Gates,$111 B,68,Washington,Microsoft,5,TECHNOLOGY,"Microsoft, Self Made",8,"Medina, Washington",United States,Divorced,3,"Drop Out, Harvard University"
7,Sergey Brin,$110 B,50,California,Google,2,TECHNOLOGY,"Google, Self Made",9,"Los Altos, California",United States,Separated,3,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Maryland, College Park"
8,Mark Zuckerberg,$106 B,40,California,Facebook,2,TECHNOLOGY,"Facebook, Self Made",8,"Palo Alto, California",United States,Married,3,"Drop Out, Harvard University"
9,Steve Ballmer,$101 B,68,Washington,Microsoft,2,TECHNOLOGY,"Microsoft, Self Made",6,"Hunts Point, Washington",United States,Married,3,"Bachelor of Arts/Science, Harvard University; Drop Out, Stanford University"
10,Michael Bloomberg,$96.3 B,82,New York,Bloomberg LP,4,FINANCE & INVESTMENTS,"Bloomberg LP, Self Made",8,"New York, New York",United States,In Relationship,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University"
11,Michael Dell,$71.5 B,59,Texas,Dell Technologies,2,TECHNOLOGY,"Dell Technologies, Self Made",8,"Austin, Texas",United States,Married,4,"Drop Out, The University of Texas at Austin"
12,Jim Walton & family,$68.2 B,76,Arkansas,Walmart,1,FASHION & RETAIL,Walmart,2,"Bentonville, Arkansas",United States,Married,4,"Bachelor of Arts/Science, University of Arkansas"
13,Rob Walton & family,$67.4 B,79,Arkansas,Walmart,1,FASHION & RETAIL,Walmart,4,"Bentonville, Arkansas",United States,Married,3,"Doctor of Jurisprudence, Columbia University; Bachelor of Arts/Science, University of Arkansas"
14,Alice Walton,$66.5 B,74,Texas,Walmart,2,FASHION & RETAIL,Walmart,1,"Fort Worth, Texas",United States,Divorced,"Bachelor of Arts/Science, Trinity University",
15,Julia Koch & family,$59.8 B,62,New York,Koch Industries,2,DIVERSIFIED,Koch Industries,1,"New York, New York",United States,Widowed,3,"Bachelor of Arts/Science, University of Central Arkansas"
16,Charles Koch & family,$54.5 B,88,Kansas,Koch Industries,2,DIVERSIFIED,Koch Industries,5,"Wichita, Kansas",United States,Married,2,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology"
17,Jensen Huang,$40.7 B,61,California,Semiconductors,1,TECHNOLOGY,"Semiconductors, Self Made",8,"Los Altos, California",United States,Married,"Bachelor of Science in Engineering, Oregon State University; Master of Science in Engineering, Stanford University",
18,Phil Knight & family,$39.5 B,86,Oregon,Nike,3,FASHION & RETAIL,"Nike, Self Made",8,"Hillsboro, Oregon",United States,Married,3,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Oregon"
19,Jacqueline Mars,$38.9 B,84,Virginia,"Candy, pet food","The Plains, Virginia",FOOD & BEVERAGE,"Candy, pet food",2,United States,Divorced,3,"Bachelor of Arts/Science, Bryn Mawr College",
19,John Mars,$38.9 B,88,Wyoming,"Candy, pet food","Jackson, Wyoming",FOOD & BEVERAGE,"Candy, pet food",2,United States,Married,3,"Diploma, The Hotchkiss School; Bachelor of Arts/Science, Yale University",
21,MacKenzie Scott,$37.1 B,54,Washington,Amazon,5,TECHNOLOGY,Amazon,3,"Seattle, Washington",United States,Divorced,4,"Bachelor of Arts/Science, Princeton University"
22,Ken Griffin,$35.4 B,55,Florida,Hedge funds,3,FINANCE & INVESTMENTS,"Hedge funds, Self Made",8,"Miami, Florida",United States,Divorced,3,"Bachelor of Arts/Science, Harvard University"
23,Stephen Schwarzman,$34.5 B,77,New York,Investments,2,FINANCE & INVESTMENTS,"Investments, Self Made",8,"New York, New York",United States,Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Yale University"
24,Miriam Adelson & family,$32.8 B,78,Nevada,Casinos,2,GAMBLING & CASINOS,Casinos,2,"Las Vegas, Nevada",United States,Widowed,5,"Bachelor of Science, Hebrew University Jerusalem"
25,Len Blavatnik,$30.7 B,67,,"Music, chemicals",2,DIVERSIFIED,"Music, chemicals, Self Made",9,"London, United Kingdom",United States,Married,"Master of Science, Columbia University; Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Moscow State University",
25,Jim Simons,$30.7 B,"Hedge funds, Self Made",New York,Hedge funds,United States,FINANCE & INVESTMENTS,8,4,3,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Doctorate, University of California, Berkeley",,,
27,Thomas Peterffy,$29.7 B,79,Florida,Discount brokerage,1,FINANCE & INVESTMENTS,"Discount brokerage, Self Made",10,"Palm Beach, Florida",United States,Divorced,3,"Drop Out, New York University"
28,Jeff Yass,$28.9 B,66,Pennsylvania,"Trading, investments",1,FINANCE & INVESTMENTS,"Trading, investments, Self Made",8,"Haverford, Pennsylvania",United States,Married,4,"Bachelor of Science, SUNY Binghamton"
29,Abigail Johnson,$25.5 B,62,Massachusetts,Fidelity,1,FINANCE & INVESTMENTS,Fidelity Investments,4,"Milton, Massachusetts",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Hobart and William Smith"
30,Harold Hamm & family,$25.2 B,78,Oklahoma,Oil & gas,1,ENERGY,"Oil & gas, Self Made",10,"Oklahoma City, Oklahoma",United States,Divorced,5,"Diploma, High School"
