RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,Self-Made Score,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Age,Philanthropy Score,Agent,Agency,Lifetime Giving,Giving as a percentage of net worth
1,Elon Musk,$251 B,52,Texas,"Tesla, SpaceX",1,AUTOMOTIVE,"Tesla, SpaceX, Self Made",53,8,8,1,1,"Austin, Texas",53,"Tesla, SpaceX, Self Made",,,,
2,Jeff Bezos,$161 B,59,Washington,Amazon,2,TECHNOLOGY,"Amazon, Self Made",60,8,8,2,2,"Miami, Florida",60,"Amazon, Self Made",,,,
3,Larry Ellison,$158 B,79,California,Oracle,1,TECHNOLOGY,"Oracle, Self Made",79,9,9,1,1,"Woodside, California",79,"Oracle, Self Made",,,,
4,Warren Buffett,$121 B,93,Nebraska,Berkshire Hathaway,5,FINANCE & INVESTMENTS,"Berkshire Hathaway, Self Made",93,8,8,5,5,"Omaha, Nebraska",93,"Berkshire Hathaway, Self Made",,,,
5,Larry Page,$114 B,50,California,Google,1,TECHNOLOGY,"Google, Self Made",51,8,8,1,1,"Palo Alto, California",51,"Google, Self Made",,,,
6,Bill Gates,$111 B,67,Washington,Microsoft,5,TECHNOLOGY,"Microsoft, Self Made",68,8,8,5,5,"Medina, Washington",68,"Microsoft, Self Made",,,,
7,Sergey Brin,$110 B,50,California,Google,2,TECHNOLOGY,"Google, Self Made",50,9,9,2,2,"Los Altos, California",50,"Google, Self Made",,,,
8,Mark Zuckerberg,$106 B,39,California,Facebook,2,TECHNOLOGY,"Facebook, Self Made",40,8,8,2,2,"Palo Alto, California",40,"Facebook, Self Made",,,,
9,Steve Ballmer,$101 B,67,Washington,Microsoft,2,TECHNOLOGY,"Microsoft, Self Made",68,6,6,2,2,"Hunts Point, Washington",68,"Microsoft, Self Made",,,,
10,Michael Bloomberg,$96.3 B,81,New York,Bloomberg LP,4,FINANCE & INVESTMENTS,"Bloomberg LP, Self Made",82,8,8,4,4,"New York, New York",82,"Bloomberg LP, Self Made",,,,
11,Michael Dell,$71.5 B,58,Texas,Dell Technologies,2,TECHNOLOGY,"Dell Technologies, Self Made",59,8,8,2,2,"Austin, Texas",59,"Dell Technologies, Self Made",,,,
12,Jim Walton & family,$68.2 B,75,Arkansas,Walmart,1,FASHION & RETAIL,Walmart,76,2,2,1,1,"Bentonville, Arkansas",76,Walmart,,,,
13,Rob Walton & family,$67.4 B,78,Arkansas,Walmart,1,FASHION & RETAIL,Walmart,79,4,4,1,1,"Bentonville, Arkansas",79,Walmart,,,,
