RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,Self-Made Score,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Age,Philanthropy Score,Wealth History,Agent,Agency,Lifetime Giving,Giving as a percentage of net worth
1,Elon Musk,$251 B,52,Texas,"Tesla, SpaceX",1,AUTOMOTIVE,8,"Tesla, SpaceX, Self Made","Austin, Texas",United States,Single,11,"Bachelor of Arts/Science, University of Pennsylvania",53,1,"$12B : March 2015
$10.7B : March 2016
$13.9B : March 2017
$19.9B : March 2018
$22.3B : March 2019
$24.6B : April 2020
$151B : April 2021
$219B : April 2022
$180B : April 2023
$195B : April 2024
",,,,
2,Jeff Bezos,$161 B,59,Washington,Amazon,2,TECHNOLOGY,8,"Amazon, Self Made","Miami, Florida",United States,Engaged,4,"Bachelor of Arts/Science, Princeton University",60,2,"$34.8B : March 2015
$45.2B : March 2016
$72.8B : March 2017
$112B : March 2018
$131B : March 2019
$113B : April 2020
$177B : April 2021
$171B : April 2022
$114B : April 2023
$194B : April 2024
",,,,
3,Larry Ellison,$158 B,79,California,Oracle,1,TECHNOLOGY,9,"Oracle, Self Made","Woodside, California",United States,In Relationship,4,"Drop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign",79,1,"$54.3B : March 2015
$43.6B : March 2016
$52.2B : March 2017
$58.5B : March 2018
$62.5B : March 2019
$59B : April 2020
$93B : April 2021
$106B : April 2022
$107B : April 2023
$141B : April 2024
",,,,
4,Warren Buffett,$121 B,93,Nebraska,Berkshire Hathaway,5,FINANCE & INVESTMENTS,8,"Berkshire Hathaway, Self Made","Omaha, Nebraska",United States,"Widowed, Remarried",3,"Master of Science, Columbia University; Bachelor of Arts/Science, University of Nebraska Lincoln",93,5,"$72.7B : March 2015
$60.8B : March 2016
$75.6B : March 2017
$84B : March 2018
$82.5B : March 2019
$67.5B : April 2020
$96B : April 2021
$118B : April 2022
$106B : April 2023
$133B : April 2024
",,,,
5,Larry Page,$114 B,50,California,Google,1,TECHNOLOGY,8,"Google, Self Made","Palo Alto, California",United States,Married,1,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Michigan",51,1,"$29.7B : March 2015
$35.2B : March 2016
$40.7B : March 2017
$48.8B : March 2018
$50.8B : March 2019
$50.9B : April 2020
$91.5B : April 2021
$111B : April 2022
$79.2B : April 2023
$114B : April 2024
",,,,
6,Bill Gates,$111 B,67,Washington,Microsoft,5,TECHNOLOGY,8,"Microsoft, Self Made","Medina, Washington",United States,Divorced,3,"Drop Out, Harvard University",68,5,"$79.2B : March 2015
$75B : March 2016
$86B : March 2017
$90B : March 2018
$96.5B : March 2019
$98B : April 2020
$124B : April 2021
$129B : April 2022
$104B : April 2023
$128B : April 2024
",,,,
7,Sergey Brin,$110 B,50,California,Google,2,TECHNOLOGY,9,"Google, Self Made","Los Altos, California",United States,Separated,3,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Maryland, College Park",50,2,"$29.2B : March 2015
$34.4B : March 2016
$39.8B : March 2017
$47.5B : March 2018
$49.8B : March 2019
$49.1B : April 2020
$89B : April 2021
$107B : April 2022
$76B : April 2023
$110B : April 2024
",,,,
8,Mark Zuckerberg,$106 B,39,California,Facebook,2,TECHNOLOGY,8,"Facebook, Self Made","Palo Alto, California",United States,Married,3,"Drop Out, Harvard University",40,2,"$33.4B : March 2015
$44.6B : March 2016
$56B : March 2017
$71B : March 2018
$62.3B : March 2019
$54.7B : April 2020
$97B : April 2021
$67.3B : April 2022
$64.4B : April 2023
$177B : April 2024
",,,,
9,Steve Ballmer,$101 B,67,Washington,Microsoft,2,TECHNOLOGY,6,"Microsoft, Self Made","Hunts Point, Washington",United States,Married,3,"Bachelor of Arts/Science, Harvard University; Drop Out, Stanford University",68,2,"$21.5B : March 2015
$23.5B : March 2016
$30B : March 2017
$38.4B : March 2018
$41.2B : March 2019
$52.7B : April 2020
$68.7B : April 2021
$91.4B : April 2022
$80.7B : April 2023
$121B : April 2024
",,,,
10,Michael Bloomberg,$96.3 B,81,New York,Bloomberg LP,4,FINANCE & INVESTMENTS,8,"Bloomberg LP, Self Made","New York, New York",United States,In Relationship,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University",82,4,"$35.5B : March 2015
$40B : March 2016
$47.5B : March 2017
$50B : March 2018
$55.5B : March 2019
$48B : April 2020
$59B : April 2021
$82B : April 2022
$94.5B : April 2023
$106B : April 2024
",,,,
11,Michael Dell,$71.5 B,58,Texas,Dell Technologies,2,TECHNOLOGY,8,"Dell Technologies, Self Made","Austin, Texas",United States,Married,4,"Drop Out, The University of Texas at Austin",59,2,"$19.2B : March 2015
$19.8B : March 2016
$20.4B : March 2017
$22.7B : March 2018
$34.3B : March 2019
$22.9B : April 2020
$45.1B : April 2021
$55.1B : April 2022
$50.1B : April 2023
$91B : April 2024
",,,,
12,Jim Walton & family,$68.2 B,75,Arkansas,Walmart,1,FASHION & RETAIL,2,Walmart,"Bentonville, Arkansas",United States,Married,4,"Bachelor of Arts/Science, University of Arkansas",76,1,"$40.6B : March 2015
$33.6B : March 2016
$34B : March 2017
$46.4B : March 2018
$44.6B : March 2019
$54.6B : April 2020
$60.2B : April 2021
$66.2B : April 2022
$58.8B : April 2023
$78.4B : April 2024
",,,,
13,Rob Walton & family,$67.4 B,78,Arkansas,Walmart,1,FASHION & RETAIL,4,Walmart,"Bentonville, Arkansas",United States,Married,3,"Doctor of Jurisprudence, Columbia University; Bachelor of Arts/Science, University of Arkansas",79,1,"$39.1B : March 2015
$31.9B : March 2016
$34.1B : March 2017
$46.2B : March 2018
$44.3B : March 2019
$54.1B : April 2020
$59.5B : April 2021
$65B : April 2022
$57.6B : April 2023
$77.4B : April 2024
",,,,
14,Alice Walton,$66.5 B,73,Texas,Walmart,2,FASHION & RETAIL,1,Walmart,"Fort Worth, Texas",United States,Divorced,,"Bachelor of Arts/Science, Trinity University",74,2,"$39.4B : March 2015
$32.3B : March 2016
$33.8B : March 2017
$46B : March 2018
$44.4B : March 2019
$54.4B : April 2020
$61.8B : April 2021
$65.3B : April 2022
$56.7B : April 2023
$72.3B : April 2024
",,,,
15,Julia Koch & family,$59.8 B,61,New York,Koch Industries,2,DIVERSIFIED,1,Koch Industries,"New York, New York",United States,Widowed,3,"Bachelor of Arts/Science, University of Central Arkansas",62,2,"$38.2B : April 2020
$46.4B : April 2021
$60B : April 2022
$59B : April 2023
$64.3B : April 2024
",,,,
16,Charles Koch & family,$54.5 B,87,Kansas,Koch Industries,2,DIVERSIFIED,5,Koch Industries,"Wichita, Kansas",United States,Married,2,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",88,2,"$42.9B : March 2015
$39.6B : March 2016
$48.3B : March 2017
$60B : March 2018
$50.5B : March 2019
$38.2B : April 2020
$46.4B : April 2021
$60B : April 2022
$59B : April 2023
$58.5B : April 2024
",,,,
17,Jensen Huang,$40.7 B,60,California,Semiconductors,1,TECHNOLOGY,8,"Semiconductors, Self Made","Los Altos, California",United States,Married,,"Bachelor of Science in Engineering, Oregon State University; Master of Science in Engineering, Stanford University",61,1,"$2.7B : March 2017
$5.6B : March 2018
$3.8B : March 2019
$4.7B : April 2020
$11.8B : April 2021
$20.6B : April 2022
$21.1B : April 2023
$77B : April 2024
",,,,
18,Phil Knight & family,$39.5 B,85,Oregon,Nike,3,FASHION & RETAIL,8,"Nike, Self Made","Hillsboro, Oregon",United States,Married,3,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Oregon",86,3,"$21.5B : March 2015
$24.4B : March 2016
$26.2B : March 2017
$29.6B : March 2018
$33.4B : March 2019
$29.5B : April 2020
$49.9B : April 2021
$47.3B : April 2022
$45.1B : April 2023
$40.9B : April 2024
",,,,
19,Jacqueline Mars,$38.9 B,83,Virginia,"Candy, pet food",None,FOOD & BEVERAGE,2,"Candy, pet food","The Plains, Virginia",United States,Divorced,3,"Bachelor of Arts/Science, Bryn Mawr College",84,,"$26.6B : March 2015
$23.4B : March 2016
$27B : March 2017
$23.6B : March 2018
$23.9B : March 2019
$24.7B : April 2020
$31.3B : April 2021
$31.7B : April 2022
$38.3B : April 2023
$38.5B : April 2024
",,,,
19,John Mars,$38.9 B,87,Wyoming,"Candy, pet food",None,FOOD & BEVERAGE,2,"Candy, pet food","Jackson, Wyoming",United States,Married,3,"Diploma, The Hotchkiss School; Bachelor of Arts/Science, Yale University",88,,"$26.6B : March 2015
$23.4B : March 2016
$27B : March 2017
$23.6B : March 2018
$23.9B : March 2019
$24.7B : April 2020
$31.3B : April 2021
$31.7B : April 2022
$38.3B : April 2023
$38.5B : April 2024
",,,,
21,MacKenzie Scott,$37.1 B,53,Washington,Amazon,5,TECHNOLOGY,3,Amazon,"Seattle, Washington",United States,Divorced,4,"Bachelor of Arts/Science, Princeton University",54,5,"$36B : April 2020
$53B : April 2021
$43.6B : April 2022
$24.4B : April 2023
$35.6B : April 2024
",,,,
22,Ken Griffin,$35.4 B,54,Florida,Hedge funds,3,FINANCE & INVESTMENTS,8,"Hedge funds, Self Made","Miami, Florida",United States,Divorced,3,"Bachelor of Arts/Science, Harvard University",55,3,"$6.5B : March 2015
$7.5B : March 2016
$8B : March 2017
$9B : March 2018
$11.7B : March 2019
$12.1B : April 2020
$16B : April 2021
$27.2B : April 2022
$35B : April 2023
$36.4B : April 2024
",,,,
23,Stephen Schwarzman,$34.5 B,76,New York,Investments,2,FINANCE & INVESTMENTS,8,"Investments, Self Made","New York, New York",United States,Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Yale University",77,2,"$12B : March 2015
$9.5B : March 2016
$11.8B : March 2017
$12.6B : March 2018
$13.2B : March 2019
$15.4B : April 2020
$21.9B : April 2021
$34.8B : April 2022
$27.8B : April 2023
$38.8B : April 2024
",,,,
24,Miriam Adelson & family,$32.8 B,77,Nevada,Casinos,2,GAMBLING & CASINOS,2,Casinos,"Las Vegas, Nevada",United States,Widowed,5,"Bachelor of Science, Hebrew University Jerusalem",78,2,"$38.2B : April 2021
$27.5B : April 2022
$35B : April 2023
$32B : April 2024
",,,,
25,Len Blavatnik,$30.7 B,66,,"Music, chemicals",2,DIVERSIFIED,9,"Music, chemicals, Self Made","London, United Kingdom",United States,Married,,"Master of Science, Columbia University; Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Moscow State University",67,2,"$20.2B : March 2015
$15.3B : March 2016
$20B : March 2017
$20.2B : March 2018
$17.7B : March 2019
$17B : April 2020
$32B : April 2021
$32.5B : April 2022
$32.1B : April 2023
$32.1B : April 2024
",,,,
25,Jim Simons,$30.7 B,85,New York,Hedge funds,4,FINANCE & INVESTMENTS,8,"Hedge funds, Self Made",,United States,,3,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Doctorate, University of California, Berkeley",,4,"$14B : March 2015
$15.5B : March 2016
$18B : March 2017
$20B : March 2018
$21.5B : March 2019
$21.6B : April 2020
$24.6B : April 2021
$28.6B : April 2022
$28.1B : April 2023
$31.4B : April 2024
",,,,
27,Thomas Peterffy,$29.7 B,79,Florida,Discount brokerage,1,FINANCE & INVESTMENTS,10,"Discount brokerage, Self Made","Palm Beach, Florida",United States,Divorced,3,"Drop Out, New York University",79,1,"$10.9B : March 2015
$11.1B : March 2016
$13.8B : March 2017
$20.3B : March 2018
$17.1B : March 2019
$14.3B : April 2020
$25B : April 2021
$20.1B : April 2022
$25.3B : April 2023
$34B : April 2024
",,,,
28,Jeff Yass,$28.9 B,65,Pennsylvania,"Trading, investments",1,FINANCE & INVESTMENTS,8,"Trading, investments, Self Made","Haverford, Pennsylvania",United States,Married,4,"Bachelor of Science, SUNY Binghamton",66,1,"$12B : April 2021
$12B : April 2022
$28.5B : April 2023
$27.6B : April 2024
",,,,
29,Abigail Johnson,$25.5 B,61,Massachusetts,Fidelity,1,FINANCE & INVESTMENTS,4,Fidelity Investments,"Milton, Massachusetts",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Hobart and William Smith",62,1,"$13.4B : March 2015
$13.1B : March 2016
$14.4B : March 2017
$15.9B : March 2018
$15.6B : March 2019
$10.8B : April 2020
$20.9B : April 2021
$21.2B : April 2022
$21.6B : April 2023
$29B : April 2024
",,,,
